"","CodeEtab","Commune","CodeMat","Matiere","TypeEtab","NomEtab","Barre","ville","etablissement","effectif_presents_serie_l","effectif_presents_serie_es","effectif_presents_serie_s","effectif_presents_serie_stg","effectif_presents_serie_sti","effectif_presents_serie_stl","effectif_presents_serie_st2s","effectif_presents_serie_musiq_danse","effectif_presents_serie_hotellerie","effectif_presents_total_series","taux_brut_de_reussite_serie_l","taux_brut_de_reussite_serie_es","taux_brut_de_reussite_serie_s","taux_brut_de_reussite_serie_stg","taux_brut_de_reussite_serie_sti","taux_brut_de_reussite_serie_stl","taux_brut_de_reussite_serie_st2s","taux_brut_de_reussite_serie_musiq_danse","taux_brut_de_reussite_serie_hotellerie","taux_brut_de_reussite_total_series","taux_reussite_attendu_acad_serie_l","taux_reussite_attendu_acad_serie_es","taux_reussite_attendu_acad_serie_s","taux_reussite_attendu_acad_serie_stg","taux_reussite_attendu_acad_serie_sti","taux_reussite_attendu_acad_serie_stl","taux_reussite_attendu_acad_serie_st2s","taux_reussite_attendu_acad_serie_musiq_danse","taux_reussite_attendu_acad_serie_hotellerie","taux_reussite_attendu_acad_total_series","taux_reussite_attendu_france_serie_l","taux_reussite_attendu_france_serie_es","taux_reussite_attendu_france_serie_s","taux_reussite_attendu_france_serie_stg","taux_reussite_attendu_france_serie_sti","taux_reussite_attendu_france_serie_stl","taux_reussite_attendu_france_serie_st2s","taux_reussite_attendu_france_serie_musiq_danse","taux_reussite_attendu_france_serie_hotellerie","taux_reussite_attendu_france_total_series","sructure_pedagogique_en_5_groupes","bachel_sort_2de_1re_term_etab","bachel_sort_terminales_etab","bachel_sort_2de_1re_term_acad","bachel_sort_terminales_acad","bachel_sort_2de_1re_term_france","bachel_sort_terminales_france","effectif_de_seconde","effectif_de_premiere","taux_acces_brut_seconde_bac","taux_acces_attendu_acad_seconde_bac","taux_acces_attendu_france_seconde_bac","taux_acces_brut_premiere_bac","taux_acces_attendu_acad_premiere_bac","taux_acces_attendu_france_premiere_bac"
"142","0780656P","EPONE","L1300","MATHS","CLG","BENJAMIN FRANKLIN",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","0780656P","EPONE","L0426","ESPAGNOL","CLG","BENJAMIN FRANKLIN",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","0780656P","EPONE","L0202","LET MODERN","CLG","BENJAMIN FRANKLIN",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","0780656P","EPONE","L1700","EDU MUSICA","CLG","BENJAMIN FRANKLIN",552.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","0780707V","BONNIERES-SUR-SEINE","L0422","ANGLAIS","CLG","MARCEL PAGNOL",239.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","0780707V","BONNIERES-SUR-SEINE","L1900","E. P. S","CLG","MARCEL PAGNOL",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","0780708W","MANTES-LA-JOLIE","L1900","E. P. S","CLG","JULES FERRY",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","0780708W","MANTES-LA-JOLIE","L1300","MATHS","CLG","JULES FERRY",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","0780708W","MANTES-LA-JOLIE","L1700","EDU MUSICA","CLG","JULES FERRY",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","0780709X","MAULE","L0201","LETT CLASS","CLG","DE LA MAULDRE",389.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
